iso3,country_name,unga_alignment_score,wb_vote_share_score,ifc_presence_score,alignment_score,excluded_components
AUS,Australia,,0.0,0.0,0.0,unga_alignment_score
AUT,Austria,,0.0,0.0,0.0,unga_alignment_score
BEL,Belgium,,0.0,0.0,0.0,unga_alignment_score
CAN,Canada,,0.0,0.0,0.0,unga_alignment_score
CHE,Switzerland,,0.0,0.0,0.0,unga_alignment_score
CHN,China,,0.0,100.0,50.0,unga_alignment_score
CYP,Cyprus,,0.0,0.0,0.0,unga_alignment_score
CZE,Czechia,,0.0,100.0,50.0,unga_alignment_score
DEU,Germany,,0.0,0.0,0.0,unga_alignment_score
DNK,Denmark,,0.0,0.0,0.0,unga_alignment_score
ESP,Spain,,0.0,0.0,0.0,unga_alignment_score
EST,Estonia,,0.0,0.0,0.0,unga_alignment_score
FIN,Finland,,0.0,0.0,0.0,unga_alignment_score
FRA,France,,0.0,0.0,0.0,unga_alignment_score
GBR,United Kingdom,,0.0,0.0,0.0,unga_alignment_score
GRC,Greece,,0.0,0.0,0.0,unga_alignment_score
HUN,Hungary,,0.0,100.0,50.0,unga_alignment_score
IRL,Ireland,,0.0,0.0,0.0,unga_alignment_score
ISL,Iceland,,0.0,0.0,0.0,unga_alignment_score
ISR,Israel,,0.0,0.0,0.0,unga_alignment_score
ITA,Italy,,0.0,0.0,0.0,unga_alignment_score
JPN,Japan,,0.0,0.0,0.0,unga_alignment_score
KOR,Korea Rep.,,0.0,0.0,0.0,unga_alignment_score
LTU,Lithuania,,0.0,0.0,0.0,unga_alignment_score
LUX,Luxembourg,,0.0,0.0,0.0,unga_alignment_score
LVA,Latvia,,0.0,0.0,0.0,unga_alignment_score
MLT,Malta,,0.0,0.0,0.0,unga_alignment_score
NLD,Netherlands,,0.0,0.0,0.0,unga_alignment_score
NOR,Norway,,0.0,0.0,0.0,unga_alignment_score
NZL,New Zealand,,0.0,0.0,0.0,unga_alignment_score
POL,Poland,,0.0,100.0,50.0,unga_alignment_score
PRT,Portugal,,0.0,0.0,0.0,unga_alignment_score
SAU,Saudi Arabia,,0.0,0.0,0.0,unga_alignment_score
SGP,Singapore,,0.0,0.0,0.0,unga_alignment_score
SVK,Slovak Republic,,0.0,0.0,0.0,unga_alignment_score
SVN,Slovenia,,0.0,0.0,0.0,unga_alignment_score
SWE,Sweden,,0.0,0.0,0.0,unga_alignment_score
TUR,Turkiye,,0.0,100.0,50.0,unga_alignment_score
USA,United States,,0.0,0.0,0.0,unga_alignment_score
ARE,United Arab Emirates,,0.0,0.0,0.0,unga_alignment_score
BHR,Bahrain,,0.0,0.0,0.0,unga_alignment_score
KWT,Kuwait,,0.0,0.0,0.0,unga_alignment_score
QAT,Qatar,,0.0,0.0,0.0,unga_alignment_score
OMN,Oman,,0.0,0.0,0.0,unga_alignment_score
HRV,Croatia,,0.0,100.0,50.0,unga_alignment_score
ROU,Romania,,0.0,100.0,50.0,unga_alignment_score
BGR,Bulgaria,,0.0,100.0,50.0,unga_alignment_score
ARG,Argentina,,0.0,100.0,50.0,unga_alignment_score
BRA,Brazil,,0.0,100.0,50.0,unga_alignment_score
CHL,Chile,,0.0,100.0,50.0,unga_alignment_score
COL,Colombia,,0.0,100.0,50.0,unga_alignment_score
CRI,Costa Rica,,0.0,100.0,50.0,unga_alignment_score
DOM,Dominican Republic,,0.0,100.0,50.0,unga_alignment_score
ECU,Ecuador,,0.0,100.0,50.0,unga_alignment_score
GTM,Guatemala,,0.0,100.0,50.0,unga_alignment_score
MEX,Mexico,,0.0,100.0,50.0,unga_alignment_score
PAN,Panama,,0.0,100.0,50.0,unga_alignment_score
PER,Peru,,0.0,100.0,50.0,unga_alignment_score
PRY,Paraguay,,0.0,100.0,50.0,unga_alignment_score
URY,Uruguay,,0.0,100.0,50.0,unga_alignment_score
VNM,Vietnam,,0.0,100.0,50.0,unga_alignment_score
THA,Thailand,,0.0,100.0,50.0,unga_alignment_score
MYS,Malaysia,,0.0,100.0,50.0,unga_alignment_score
IDN,Indonesia,,0.0,100.0,50.0,unga_alignment_score
PHL,Philippines,,0.0,100.0,50.0,unga_alignment_score
IND,India,,0.0,100.0,50.0,unga_alignment_score
BGD,Bangladesh,,0.0,100.0,50.0,unga_alignment_score
PAK,Pakistan,,0.0,100.0,50.0,unga_alignment_score
KAZ,Kazakhstan,,0.0,100.0,50.0,unga_alignment_score
UKR,Ukraine,,0.0,100.0,50.0,unga_alignment_score
GEO,Georgia,,0.0,100.0,50.0,unga_alignment_score
ARM,Armenia,,0.0,100.0,50.0,unga_alignment_score
AZE,Azerbaijan,,0.0,100.0,50.0,unga_alignment_score
MAR,Morocco,,0.0,100.0,50.0,unga_alignment_score
TUN,Tunisia,,0.0,100.0,50.0,unga_alignment_score
EGY,Egypt,,0.0,100.0,50.0,unga_alignment_score
ZAF,South Africa,,0.0,100.0,50.0,unga_alignment_score
NGA,Nigeria,,0.0,100.0,50.0,unga_alignment_score
GHA,Ghana,,0.0,100.0,50.0,unga_alignment_score
KEN,Kenya,,0.0,100.0,50.0,unga_alignment_score
ETH,Ethiopia,,0.0,100.0,50.0,unga_alignment_score
